text,score_?,score_2,score_1,score_3,high_influential,high_factbasedness,high_inaccuracy,high_opinionated,high_accountability,high_unobjectivity_tone,noise
"At least 206 people attended the fundraiser for President Donald Trump at his New Jersey golf course Thursday night, hours before the president announce he tested positive for the coronavirus",False,False,True,False,False,False,False,True,False,False,False
 state Department of Health officials said Sunday.,False,True,False,False,False,False,False,False,True,False,False
The White House supplied the names of the attendees,False,False,False,True,False,True,False,False,False,False,False
health officials said in a tweet,False,True,False,False,False,False,False,False,True,False,False
"Contact tracers are in the process of reaching out to those who attended, and asking those who had close contact with the president or his staff to self-quarantine for 14 days.",False,False,False,True,False,True,False,False,False,False,False
"Trump tested positive for the virus on Thursday night, shortly after attending a fundraiser at Trump National Golf Course in Bedminster.",False,False,False,True,False,True,False,False,False,False,False
"He is currently hospitalized at Walter Reed Medical Center outside of Washington, D.C.",False,False,False,True,False,True,False,False,False,False,False
"The president has faced criticism for attending after having had close contact with top aide Hope Hicks, who tested positive for the virus the day before.",False,True,False,False,False,False,False,True,False,False,False
White House Communications Director Alyssa Farah told reporters at the White House on Sunday that Trump,False,True,False,False,False,False,False,False,True,False,False
"""wasn't deemed to pose a threat.""",False,True,False,False,False,False,False,True,False,False,False
"Several attendees of the New Jersey fundraiser said they were not concerned about contracting the coronavirus, saying that the event was outside and most did not come into close contact with the president.",False,True,False,False,False,False,False,True,False,False,False
"Golf club staffers will be interviewed by the Somerset County Department of Health to determine if they had close contact with the president, state officials said. It's not clear how many employees had close contact with the president.",False,True,False,False,False,False,False,True,False,False,False
"Those who attended the event should wait at least 5-7 days before getting tested for the coronavirus test, as it's possible to get a false negative in the early days of infection",False,True,False,False,False,False,False,True,False,False,False
", the state said.",False,True,False,False,False,False,False,False,True,False,False
"An acute loss of smell or taste is a ""highly reliable"" coronavirus indicator and should now be considered globally as a criterion for self-isolation, testing, and contact tracing, according to a research by UK scientists.",False,False,False,True,False,False,False,True,False,False,False
"The cohort study, which assessed health data from primary care centres in London and is published in ‘PLOS Medicine' this week",False,False,False,True,False,False,False,False,True,False,False
"found that 78 per cent of people who reported sudden loss of smell and/or taste at the height of the pandemic had SARS-CoV-2 or COVID-19 antibodies. Of these people, 40 per cent did not have a cough or fever.",False,True,False,False,False,True,False,False,False,False,False
"""As we approach a second wave of infections, early recognition of COVID-19 symptoms by the public together with rapid self-isolation and testing will be of vital importance to limit the disease’s spread,""",False,False,False,True,False,False,False,True,False,False,False
"said lead author professor Rachel Batterham, from University College London (UCL) Medicine and UCL Hospitals.",False,False,False,True,False,False,False,False,True,False,False
"""Our findings show that loss of smell and taste is a highly reliable indicator that someone is likely to have COVID-19 and if we are to reduce the spread of this pandemic, it should now be considered by governments globally as a criterion for self-isolation, testing, and contact tracing,"" ",False,False,False,True,False,False,False,True,False,False,False
said Batterham,False,True,False,False,False,False,False,False,True,False,False
"""While people in the UK who experience sudden onset loss of smell or taste are advised to self-isolate and seek a test, at a global level few countries recognise this symptom as a COVID-19 indicator: most focus on fever and respiratory symptoms,""",False,False,False,True,False,False,False,True,False,False,False
Recruitment to the study took place between April 23 and May 14 at the peak of the pandemic by sending text messages to people registered with a number of primary care centres in London who had reported sudden loss in their sense of smell and/or taste.,False,True,False,False,False,True,False,False,False,False,False
"A total of 590 participants enrolled via a web-based platform and responded to questions about loss of smell and taste and other COVID-19 related symptoms. Of these, 567 then had a telemedicine consultation with a healthcare professional who confirmed the history of their symptoms and supervised a test to find out if they had SARS-CoV-2 antibodies.",False,False,False,True,False,True,False,False,False,False,False
"A total of 77.6 per cent of 567 people with smell and/or taste loss had SARS-CoV-2 antibodies; of these 39.8 per cent had neither cough nor fever, and participants with loss of smell were three times more likely to have SARS-CoV-2 antibodies, compared with those with loss of taste.",False,False,False,True,False,True,False,False,False,False,False
"""Our research suggests a key public health message should be: people who notice a loss in their ability to smell everyday household odours such as garlic, onions, coffee, and perfumes should self-isolate and seek a coronavirus PCR swab test,""",False,False,False,True,False,False,False,True,False,False,False
"Batterham said.
",False,True,False,False,False,False,False,False,True,False,False
"While it has been known for some time that COVID-19 can cause loss or reduced ability to smell (anosmia) or taste, without cough or fever, existing data had suggested a prevalence of smell and/or taste loss in the range of 31-85 per cent in COVID-19 patients.",False,True,False,False,False,True,False,False,False,False,False
This is the first study of its kind to try and establish the proportion of those who had experienced loss of smell and or taste as having COVID-19.,False,True,False,False,False,False,False,True,False,False,False
